2018-08-07 22:13:33,546 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\workspace-soa-1\soa-provider-1\pom.xml
2018-08-07 22:13:34,670 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lovin.provider:soa-provider-1:0.0.1-SNAPSHOT @ D:\workspace-soa-1\soa-provider-1\pom.xml.
2018-08-07 22:13:37,887 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /soa-provider-1/src/main/java
2018-08-07 22:13:37,888 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /soa-provider-1/src/main/resources
2018-08-07 22:13:37,889 [Worker-11] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /soa-provider-1/src/test/java
2018-08-07 22:13:37,946 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lovin.provider:soa-provider-1:0.0.1-SNAPSHOT @ D:\workspace-soa-1\soa-provider-1\pom.xml.
2018-08-07 22:13:40,628 [Worker-11] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 7 sec
2018-08-07 22:13:42,293 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lovin.provider:soa-provider-1:0.0.1-SNAPSHOT @ D:\workspace-soa-1\soa-provider-1\pom.xml.
2018-08-07 22:13:42,405 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-07 22:13:42,412 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-07 22:13:42,422 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-07 22:13:42,423 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace-soa-1\soa-provider-1\src\test\resources
2018-08-07 22:13:44,977 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-07 22:13:44,980 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-07 22:13:44,982 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-07 22:13:44,982 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace-soa-1\soa-provider-1\src\test\resources
